date;real_gdp;real_oil;real_final_cons;uti;constant_gdp;hours;capital_net;final_energy_mtoe;;
01/01/95;6.3808354531369;24.435223605348;6.01578068285981;0.817;2405959.41057559;0.230119047619048;28217.4725909195;267.564518322421;;24,43522361
01/04/95;6.38333364220366;25.6972014570304;6.01975350834087;0.826;2419952.73060428;0.230119047619048;28261.2115545517;268.798710993453;;25,69720146
01/07/95;6.38519339040573;23.3811614143134;6.02613993351698;0.822;2430061.71787984;0.230119047619048;28348.6894818162;271.267096335516;;23,38116141
01/10/95;6.38667812188452;23.6242670275147;6.02985341406061;0.817;2438808.9413969;0.230119047619048;28479.9063727128;274.969674348611;;23,62426703
01/01/96;6.38794312799777;25.479322500215;6.03800460122255;0.806;2445978.849626;0.22984126984127;28654.8622272417;279.906445032737;;25,4793225
01/04/96;6.39080730685981;27.7508173273396;6.04463397796363;0.801;2461541.68369432;0.22984126984127;28818.6116781566;282.988575293293;;27,75081733
01/07/96;6.39353303517642;28.4660748229337;6.05010339053913;0.8;2476980.07290092;0.22984126984127;28971.1547254575;284.216065130278;;28,46607482
01/10/96;6.39552140604819;31.0210319909641;6.0561550464624;0.8;2488448.2345976;0.22984126984127;29112.4913691444;283.588914543692;;31,02103199
01/01/97;6.3977025236446;28.500650585527;6.06316035743104;0.806;2500583.14983485;0.229007936507937;29242.6216092173;281.107123533535;;28,50065059
01/04/97;6.40304649598179;24.7828234405415;6.06953919516263;0.813;2532270.5482437;0.229007936507937;29382.3370615596;279.591557716059;;24,78282344
01/07/97;6.40610960677729;24.3397054780749;6.07730048446421;0.82;2550111.39969719;0.229007936507937;29531.6377261712;279.042217091262;;24,33970548
01/10/97;6.4108986502001;24.4796283528677;6.08199297569092;0.825;2578592.53422634;0.229007936507937;29690.5236030522;279.459101659144;;24,47962835
01/01/98;6.41363072460451;19.5506655067776;6.08676687993007;0.827;2594785.27757698;0.227698412698413;29858.9946922025;280.842211419707;;19,55066551
01/04/98;6.41557966733046;17.8509750378921;6.09092482318298;0.831;2605952.38385488;0.227698412698413;30029.0252509816;281.808570756049;;17,85097504
01/07/98;6.41825242215306;17.2669470006298;6.09630300120778;0.829;2622302.02937412;0.227698412698413;30200.6152793896;282.358179668171;;17,266947
01/10/98;6.41991167279424;15.6830793801353;6.09718304627825;0.82;2631979.86209916;0.227698412698413;30373.7647774264;282.491038156072;;15,68307938
01/01/99;6.42359850896022;15.6124528378024;6.10348417470562;0.808;2654353.24738212;0.226547619047619;30548.4737450921;282.207146219753;;15,61245284
01/04/99;6.42603278598452;21.0689598650308;6.11206082083834;0.807;2669615.4814877;0.226547619047619;30728.1358341215;281.970730957324;;21,06895987
01/07/99;6.43127737922124;25.7222175753883;6.11832333369776;0.808;2702265.05275484;0.226547619047619;30912.7510445147;281.781792368786;;25,72221758
01/10/99;6.4368912207777;29.2400432951735;6.12702198282738;0.817;2737322.414733;0.226547619047619;31102.3193762717;281.640330454138;;29,2400433
01/01/00;6.44158575505113;33.6386792232374;6.13901501991475;0.824;2766868.88042437;0.225793650793651;31296.8408293924;281.54634521338;;33,63867922
01/04/00;6.44557026782698;33.4510040720269;6.14477966279411;0.827;2792124.69227554;0.225793650793651;31487.6130788838;282.160213031725;;33,45100407
01/07/00;6.44766671094552;36.622298157918;6.14988916465467;0.831;2805942.53258372;0.225793650793651;31674.6361247457;283.481933909173;;36,62229816
01/10/00;6.45065016805803;36.6280203208679;6.1549888275657;0.838;2824896.73283563;0.225793650793651;31857.9099669781;285.511507845722;;36,62802032
01/01/01;6.45406074628841;33.1410057084068;6.15605109289865;0.834;2847023.75879582;0.225277777777778;32037.4346055812;288.248934841373;;33,14100571
01/04/01;6.45532547225496;31.5900926451125;6.16486730890653;0.823;2855610.43675553;0.225277777777778;32211.52261879;289.694331703084;;31,59009265
01/07/01;6.45636484868793;30.0514216575922;6.16711532606807;0.813;2862273.70689655;0.225277777777778;32380.1740066044;289.847698430856;;30,05142166
01/10/01;6.45742252743204;22.9382604776927;6.1686681624785;0.799;2869336.86345201;0.225277777777778;32543.3887690245;288.709035024687;;22,93826048
01/01/02;6.45830746320553;24.0550976460979;6.17483238539019;0.8;2875657.60748496;0.227380952380952;32701.1669060503;286.278341484578;;24,05509765
01/04/02;6.4608077736655;29.2797312463302;6.17570462281984;0.801;2891526.23246895;0.227380952380952;32858.8913984405;285.294727474703;;29,27973125
01/07/02;6.46298053505803;31.4918601547905;6.17773086453161;0.806;2906057.40147674;0.227380952380952;33016.5622461952;285.758192995063;;31,49186015
01/10/02;6.46440187488777;31.2695780357472;6.18322216834722;0.806;2915398.12050857;0.227380952380952;33174.1794493142;287.668738045657;;31,26957804
01/01/03;6.46435995513502;37.7760013027483;6.18156789489341;0.802;2915290.45366731;0.227380952380952;33331.7430077977;291.026362626485;;37,7760013
01/04/03;6.46545155972905;32.3317303222016;6.18006540247531;0.798;2922660.70093614;0.227380952380952;33491.351228072;293.618867408222;;32,33173032
01/07/03;6.46827052440282;33.4674098123298;6.18501702959474;0.803;2941939.23343712;0.227380952380952;33653.0041101372;295.446252390869;;33,46740981
01/10/03;6.47173638574779;34.414750545492;6.18807060112291;0.807;2965422.61372543;0.227380952380952;33816.7016539934;296.508517574424;;34,41475055
01/01/04;6.47450720220078;38.5877680061039;6.19525484138905;0.807;2984481.25554448;0.226785714285714;33982.4438596404;296.805662958889;;38,58776801
01/04/04;6.47687770647961;41.5470347537479;6.20204436877784;0.812;3000465.56226096;0.226785714285714;34150.0071980431;297.06225592912;;41,54703475
01/07/04;6.47830620162652;47.3375972043962;6.20528325541815;0.818;3010265.43136642;0.226785714285714;34319.3916692014;297.278296485115;;47,3375972
01/10/04;6.48020707495637;51.9971154570601;6.20925529850204;0.817;3023565.20896791;0.226785714285714;34490.5972731154;297.453784626876;;51,99711546
01/01/05;6.48156848399852;53.1146699188035;6.21372218587317;0.818;3032852.57336029;0.226190476190476;34663.6240097851;297.588720354403;;53,11466992
01/04/05;6.48502518854281;56.2094965654853;6.22047399700699;0.81;3057020.0773428;0.226190476190476;34843.465100539;297.877206503652;;56,20949657
01/07/05;6.48860805932687;66.6892289685856;6.22552950107795;0.81;3082424.56611636;0.226190476190476;35030.120545377;298.319243074625;;66,68922897
01/10/05;6.4921143880158;62.9560863377775;6.23062878423052;0.813;3107465.77713441;0.226190476190476;35223.5903442993;298.91483006732;;62,95608634
01/01/06;6.49584080535045;66.1824642073362;6.23463563540887;0.816;3133829.24025499;0.225595238095238;35423.8744973057;299.663967481739;;66,18246421
01/04/06;6.50015711686764;73.2714996741949;6.24030954643689;0.828;3164859.73048288;0.225595238095238;35631.754359586;299.538035454811;;73,27149967
01/07/06;6.50267628982209;72.6181514442164;6.24527487584897;0.834;3183364.75101317;0.225595238095238;35847.2299311403;298.537033986536;;72,61815144
01/10/06;6.50656829138;61.2971231425759;6.25195408216457;0.837;3212426.61408151;0.225595238095238;36070.3012119685;296.660963076915;;61,29712314
01/01/07;6.5102696552954;58.6902654867257;6.25600391633591;0.842;3239237.21871049;0.225595238095238;36300.9682020707;293.909822725946;;58,69026549
01/04/07;6.51312947997204;65.5327562899744;6.26188224248506;0.848;3260365.49442124;0.225595238095238;36532.7197172834;292.60543749518;;65,53275629
01/07/07;6.51564601769398;75.6916308984182;6.26671416361954;0.844;3279549.82149304;0.225595238095238;36765.5557576064;292.747807384617;;75,6916309
01/10/07;6.51845778065448;90.7804542693712;6.26976161167571;0.843;3301406.0591498;0.225595238095238;36999.47632304;294.336932394256;;90,78045427
01/01/08;6.52065565741398;98.4770791020665;6.26876077699664;0.843;3317312.23229906;0.225;37234.481413584;297.372812524098;;98,4770791
01/04/08;6.51911237998462;124.646424023058;6.26913414900089;0.84;3305663.78443595;0.225;37433.6748843681;297.588039566396;;124,646424
01/07/08;6.51600446990805;117.901777386948;6.27115320379776;0.829;3282337.71684387;0.225;37597.0567353921;294.982613521149;;117,9017774
01/10/08;6.50806888000707;58.9732982197692;6.2602305921568;0.81;3222711.31201631;0.225;37724.6269666562;289.556534388358;;58,97329822
